name,type,variable,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,continent,region
Algeria,country,SDG 6.4.2. Industrial Sector Contribution to Water Stress [%],,,,,,,,,,,,,,,,,,,1.68847615,1.744758689,1.801041227,1.857323765,1.913606304,1.969888842,3.489517377,5.009145913,6.528774448,8.048402983,9.431952848,9.195071215,8.956889227,8.717499487,8.476986006,8.235425183,7.992886644,7.749433976,7.505125371,7.260014183,7.014149422,6.915406019,6.81680837,6.654158875,6.497892383,6.347340118,6.201923575,6.061139791,5.924549403,5.791766905,5.662452638,5.536306173,5.40612987,4.171191907,2.911352959,1.629276275,2.446976143,2.517949608,2.622808482,2.727869728,2.833119271,2.726891897,2.391342923,Africa,Northern Africa
Algeria,country,SDG 6.4.2. Municipal Sector Contribution to Water Stress [%],,,,,,,,,,,,,,,,,,,9.286618827,9.596172787,9.905726748,10.21528071,10.52483467,10.83438863,11.81933305,12.80427747,13.78922189,14.77416631,15.53498116,16.39139508,17.24896587,18.10761115,18.96725619,19.82783301,20.68927966,21.55153958,22.414561,23.27829644,24.14270231,25.66358031,27.18538501,28.4339332,29.67447391,30.90784613,32.13477559,33.35589326,34.57175032,35.78283038,36.98955954,38.1923147,39.34099327,40.04694751,40.73243442,41.39964304,44.12366556,47.45873607,47.77919519,48.09362545,48.40244613,43.45818494,44.77492357,Africa,Northern Africa
Algeria,country,SDG 6.4.2. Water Stress [%],,,,,,,,,28.14126917,29.54833263,30.95539609,32.36245955,33.76952301,35.17658646,36.58364992,37.99071338,39.39777684,40.8048403,42.21190376,43.61896722,45.02603067,46.43309413,47.84015759,49.24722105,52.06134797,54.87547488,57.6896018,60.50372872,62.41733502,64.1017179,65.78610077,67.47048365,69.15486652,70.8392494,72.52363227,74.20801515,75.89239802,77.57678089,79.26116377,81.71052014,85.03737246,87.52280082,90.00822919,92.49365755,94.97908592,97.46451429,99.94994265,102.435371,104.9207994,107.4062277,109.7509498,115.1634539,120.575958,125.9884621,129.8719572,137.9203602,141.7991651,145.6779701,149.556775,140.5937808,144.8149712,Africa,Northern Africa
Algeria,country,Total freshwater withdrawal [10^9 m3/year],,,,,,,,,2.0,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3.0,3.1,3.2,3.3,3.4,3.5,3.7,3.9,4.1,4.3,4.436,4.555709091,4.675418182,4.795127273,4.914836364,5.034545455,5.154254546,5.273963636,5.393672727,5.513381818,5.633090909,5.807166667,6.043606061,6.220245455,6.396884849,6.573524242,6.750163636,6.92680303,7.103442424,7.280081818,7.456721212,7.633360606,7.8,8.184666667,8.569333333,8.954,9.23,9.802,10.07766667,10.35333333,10.629,9.992,10.292,Africa,Northern Africa
Algeria,country,Total water withdrawal [10^9 m3/year],,,,,,,,,2.0,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3.0,3.1,3.2,3.3,3.4,3.5,3.7,3.9,4.1,4.3,4.5,4.615009091,4.730018182,4.845027273,4.960036364,5.075045455,5.190054546,5.305063636,5.420072727,5.535081818,5.650090909,5.824166667,6.060606061,6.297045455,6.533484849,6.769924242,7.006363636,7.24280303,7.479242424,7.715681818,7.952121212,8.188560606,8.425,8.761333333,9.097666667,9.434,9.978,10.462,10.72266667,10.98333333,11.244,10.621,10.961,Africa,Northern Africa
Algeria,country,Total water withdrawal per capita [m3/inhab/year],,,,,,,,,145.0987212,148.9474099,152.4910945,155.7089642,158.5885408,159.4530531,158.4479898,158.6742449,159.9362631,160.783693,161.2281371,161.284415,161.0277759,160.5205458,159.8347572,159.029148,162.6695462,166.3565326,170.0571923,173.7058961,177.3342408,177.5828027,177.629461,177.6228598,177.8601828,178.2582159,178.7637061,179.350541,180.3436728,181.6308171,182.8278045,185.8901854,190.8802103,195.7073929,200.2399038,204.4722984,208.3769502,211.8434263,214.8160612,217.4016645,219.7432672,221.8919105,223.7943699,228.075554,232.0535512,235.7349083,244.2551748,250.9516891,252.2681529,253.6886132,255.3012299,237.2819309,241.020873,Africa,Northern Africa
Angola,country,Agricultural water withdrawal [10^9 m3/year],,,,,,,,,,,,,,,,,,,,,,,,,,0.365,0.353076923,0.341153846,0.329230769,0.317307692,0.305384615,0.293461539,0.281538462,0.269615385,0.257692308,0.245769231,0.233846154,0.221923077,0.21,0.19734,0.18468,0.17202,0.15936,0.1467,0.1467,0.1467,0.1467,0.1467,0.1467,0.1467,0.1467,0.1467,0.1467,0.1467,0.1467,0.1467,0.1467,0.1467,0.1467,0.1467,0.1467,Africa,Sub-Saharan Africa
Angola,country,Agricultural water withdrawal as % of total water withdrawal [%],,,,,,,,,,,,,,,,,,,,,,,,,,76.04166667,71.71314741,67.59640299,63.67626274,59.93897123,56.37202698,52.96404276,49.70462416,46.58426369,43.59424816,40.72657744,37.97389295,35.32941465,32.78688525,30.19462635,27.70393928,25.30896893,23.00430176,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,Africa,Sub-Saharan Africa
Angola,country,Industrial water withdrawal [10^9 m3/year],,,,,,,,,,,,,,,,,,,,,,,,,,0.048,0.0585,0.069,0.0795,0.09,0.1005,0.111,0.1215,0.132,0.1425,0.153,0.1635,0.174,0.1845,0.19552,0.20654,0.21756,0.22858,0.2396,0.2396,0.2396,0.2396,0.2396,0.2396,0.2396,0.2396,0.2396,0.2396,0.2396,0.2396,0.2396,0.2396,0.2396,0.2396,0.2396,0.2396,Africa,Sub-Saharan Africa
Angola,country,Industrial water withdrawal as % of total water withdrawal [%],,,,,,,,,,,,,,,,,,,,,,,,,,10.0,11.88188423,13.67169639,15.37603214,17.00087184,18.55165069,20.03331945,21.45039723,22.80701754,24.10696857,25.35372849,26.55049653,27.70022043,28.80562061,29.91615154,30.98316882,32.00918079,32.99650663,33.94729385,33.94729385,33.94729385,33.94729385,33.94729385,33.94729385,33.94729385,33.94729385,33.94729385,33.94729385,33.94729385,33.94729385,33.94729385,33.94729385,33.94729385,33.94729385,33.94729385,33.94729385,Africa,Sub-Saharan Africa
